,index,Parent,Agency No.,Name,Contact,Operating Hours,Address,Zip Code,Unnamed: 7,Status,Latitude,Longitude,Filter_1,Filter_2,Requirements/Comments,Services Offered,Parent Agency No.,Input,Model_Output,day,hour,window
199,68,C1073,C1073SK,Shepherd's Table Soup Kitchen,919-831-2010,"Monday-Friday, 11 am - 12 noon","121 W. Morgan St., Raleigh, NC, 27603",27603,Wake,Confirmed,35.7793741,-78.6415622,Food Distribution,Soup Kitchen,,,C1073,"Monday-Friday, 11 am - 12 noon","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,11,10:00–11:59
200,68,C1073,C1073SK,Shepherd's Table Soup Kitchen,919-831-2010,"Monday-Friday, 11 am - 12 noon","121 W. Morgan St., Raleigh, NC, 27603",27603,Wake,Confirmed,35.7793741,-78.6415622,Food Distribution,Soup Kitchen,,,C1073,"Monday-Friday, 11 am - 12 noon","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,11,10:00–11:59
201,70,C1075,C1075FP,God's Helpers of Raleigh,919-592-2365,7:15 - 9:00 am W/Th/F,"1904 S. Wilmington St., Raleigh, NC 27603",27603,Wake,Confirmed,35.7561808,-78.64140130000001,Food Distribution,Food Pantries,,,C1075,7:15 - 9:00 am W/Th/F,"[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""07:15 am"",
        ""Closing_Hour"": ""09:00 am"",
        ""Week"": [
            ""1"",
            ""2""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""07:15 am"",
        ""Closing_Hour"": ""09:00 am"",
        ""Week"": [
            ""1"",
            ""2""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""07:15 am"",
        ""Closing_Hour"": ""09:00 am"",
        ""Week"": [
            ""1"",
            ""2""
        ]
    }
]",Wednesday,7,06:00–07:59
203,70,C1075,C1075FP,God's Helpers of Raleigh,919-592-2365,7:15 - 9:00 am W/Th/F,"1904 S. Wilmington St., Raleigh, NC 27603",27603,Wake,Confirmed,35.7561808,-78.64140130000001,Food Distribution,Food Pantries,,,C1075,7:15 - 9:00 am W/Th/F,"[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""07:15 am"",
        ""Closing_Hour"": ""09:00 am"",
        ""Week"": [
            ""1"",
            ""2""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""07:15 am"",
        ""Closing_Hour"": ""09:00 am"",
        ""Week"": [
            ""1"",
            ""2""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""07:15 am"",
        ""Closing_Hour"": ""09:00 am"",
        ""Week"": [
            ""1"",
            ""2""
        ]
    }
]",Thursday,7,06:00–07:59
205,70,C1075,C1075FP,God's Helpers of Raleigh,919-592-2365,7:15 - 9:00 am W/Th/F,"1904 S. Wilmington St., Raleigh, NC 27603",27603,Wake,Confirmed,35.7561808,-78.64140130000001,Food Distribution,Food Pantries,,,C1075,7:15 - 9:00 am W/Th/F,"[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""07:15 am"",
        ""Closing_Hour"": ""09:00 am"",
        ""Week"": [
            ""1"",
            ""2""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""07:15 am"",
        ""Closing_Hour"": ""09:00 am"",
        ""Week"": [
            ""1"",
            ""2""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""07:15 am"",
        ""Closing_Hour"": ""09:00 am"",
        ""Week"": [
            ""1"",
            ""2""
        ]
    }
]",Friday,7,06:00–07:59
207,71,C1076,C1076FP,St. James Church,919-876-5796,Monday-Thursday 9:30 am - 1:30 pm,"3808 St. James Church Rd., Raleigh, NC, 27604",27604,Wake,Confirmed,35.8339963,-78.56981139999999,Food Distribution,Food Pantries,,,C1076,Monday-Thursday 9:30 am - 1:30 pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Monday,9,08:00–09:59
212,71,C1076,C1076FP,St. James Church,919-876-5796,Monday-Thursday 9:30 am - 1:30 pm,"3808 St. James Church Rd., Raleigh, NC, 27604",27604,Wake,Confirmed,35.8339963,-78.56981139999999,Food Distribution,Food Pantries,,,C1076,Monday-Thursday 9:30 am - 1:30 pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,9,08:00–09:59
217,71,C1076,C1076FP,St. James Church,919-876-5796,Monday-Thursday 9:30 am - 1:30 pm,"3808 St. James Church Rd., Raleigh, NC, 27604",27604,Wake,Confirmed,35.8339963,-78.56981139999999,Food Distribution,Food Pantries,,,C1076,Monday-Thursday 9:30 am - 1:30 pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,9,08:00–09:59
222,71,C1076,C1076FP,St. James Church,919-876-5796,Monday-Thursday 9:30 am - 1:30 pm,"3808 St. James Church Rd., Raleigh, NC, 27604",27604,Wake,Confirmed,35.8339963,-78.56981139999999,Food Distribution,Food Pantries,,,C1076,Monday-Thursday 9:30 am - 1:30 pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""01:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,9,08:00–09:59
227,74,C1079,C1079SK,Pullen Memorial Baptist Church,919-828-0897,"Tuesdays & Thursdays, 1-2 pm","1801 Hillsborogh St., Raleigh, NC 27605",27605,Wake,Confirmed,35.7851334,-78.6609185,Food Distribution,Feeding Program,,,C1079,"Tuesdays & Thursdays, 1-2 pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,13,12:00–13:59
228,74,C1079,C1079SK,Pullen Memorial Baptist Church,919-828-0897,"Tuesdays & Thursdays, 1-2 pm","1801 Hillsborogh St., Raleigh, NC 27605",27605,Wake,Confirmed,35.7851334,-78.6609185,Food Distribution,Feeding Program,,,C1079,"Tuesdays & Thursdays, 1-2 pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,13,12:00–13:59
229,80,C1085,C1085MP,Fairmont UMC,919-832-3316,"Tuesdays, Thursdays 11 am - 1 pm","2501 Clark Ave., Raleigh, NC, 27607",27607,Wake,Confirmed,35.7892764,-78.66747730000002,Mobile Food Distribution,Mini Pantry,,,C1085,"Tuesdays, Thursdays 11 am - 1 pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,11,10:00–11:59
231,80,C1085,C1085MP,Fairmont UMC,919-832-3316,"Tuesdays, Thursdays 11 am - 1 pm","2501 Clark Ave., Raleigh, NC, 27607",27607,Wake,Confirmed,35.7892764,-78.66747730000002,Mobile Food Distribution,Mini Pantry,,,C1085,"Tuesdays, Thursdays 11 am - 1 pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,11,10:00–11:59
233,81,C1086,C1086SK,Helping Hands Mission,919-829-8048,Wednesday-Friday 10-1 pm,"623 Rock Quarry Rd., Raleigh, NC, 27610",27610,Wake,Confirmed,35.77168,-78.6204561,Food Distribution,Feeding Programs,,,C1086,Wednesday-Friday 10-1 pm,"[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,10,10:00–11:59
236,81,C1086,C1086SK,Helping Hands Mission,919-829-8048,Wednesday-Friday 10-1 pm,"623 Rock Quarry Rd., Raleigh, NC, 27610",27610,Wake,Confirmed,35.77168,-78.6204561,Food Distribution,Feeding Programs,,,C1086,Wednesday-Friday 10-1 pm,"[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,10,10:00–11:59
239,81,C1086,C1086SK,Helping Hands Mission,919-829-8048,Wednesday-Friday 10-1 pm,"623 Rock Quarry Rd., Raleigh, NC, 27610",27610,Wake,Confirmed,35.77168,-78.6204561,Food Distribution,Feeding Programs,,,C1086,Wednesday-Friday 10-1 pm,"[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,10,10:00–11:59
242,82,C1087,C1087FP,The Women's Center,919-829-3711,"Monday-Friday, 8:15 am - 2 pm","200 New Bern Ave., Raleigh, NC 27610",27610,Wake,Confirmed,35.7801629,-78.6347346,Food Distribution,Food Pantries,,,C1087,"Monday-Friday, 8:15 am - 2 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Monday,8,08:00–09:59
248,82,C1087,C1087FP,The Women's Center,919-829-3711,"Monday-Friday, 8:15 am - 2 pm","200 New Bern Ave., Raleigh, NC 27610",27610,Wake,Confirmed,35.7801629,-78.6347346,Food Distribution,Food Pantries,,,C1087,"Monday-Friday, 8:15 am - 2 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,8,08:00–09:59
254,82,C1087,C1087FP,The Women's Center,919-829-3711,"Monday-Friday, 8:15 am - 2 pm","200 New Bern Ave., Raleigh, NC 27610",27610,Wake,Confirmed,35.7801629,-78.6347346,Food Distribution,Food Pantries,,,C1087,"Monday-Friday, 8:15 am - 2 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,8,08:00–09:59
260,82,C1087,C1087FP,The Women's Center,919-829-3711,"Monday-Friday, 8:15 am - 2 pm","200 New Bern Ave., Raleigh, NC 27610",27610,Wake,Confirmed,35.7801629,-78.6347346,Food Distribution,Food Pantries,,,C1087,"Monday-Friday, 8:15 am - 2 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,8,08:00–09:59
266,82,C1087,C1087FP,The Women's Center,919-829-3711,"Monday-Friday, 8:15 am - 2 pm","200 New Bern Ave., Raleigh, NC 27610",27610,Wake,Confirmed,35.7801629,-78.6347346,Food Distribution,Food Pantries,,,C1087,"Monday-Friday, 8:15 am - 2 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""08:15 am"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Friday,8,08:00–09:59
272,84,C1089,C1089SH,Haven House Outreach Center,919-833-3312,"Monday-Friday, 9:30 am - 5:30 pm","1008 Bullard Ct., Raleigh, NC, 27615",27615,Wake,Confirmed,35.8695754,-78.6189606,Food Distribution,Shelters,,,C1089,"Monday-Friday, 9:30 am - 5:30 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Monday,9,08:00–09:59
281,84,C1089,C1089SH,Haven House Outreach Center,919-833-3312,"Monday-Friday, 9:30 am - 5:30 pm","1008 Bullard Ct., Raleigh, NC, 27615",27615,Wake,Confirmed,35.8695754,-78.6189606,Food Distribution,Shelters,,,C1089,"Monday-Friday, 9:30 am - 5:30 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,9,08:00–09:59
290,84,C1089,C1089SH,Haven House Outreach Center,919-833-3312,"Monday-Friday, 9:30 am - 5:30 pm","1008 Bullard Ct., Raleigh, NC, 27615",27615,Wake,Confirmed,35.8695754,-78.6189606,Food Distribution,Shelters,,,C1089,"Monday-Friday, 9:30 am - 5:30 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""friday"",
        ""Opening_Hour"": ""09:30 am"",
        ""Closing_Hour"": ""05:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,9,08:00–09:59
